id;nombreempleado;apellidoempleado;telefonoempleado;correoempleado
1;license;blight oxygenate including;gratefully;advancement daintily
2;disclosure homely these;interestingly egg;publicity powerfully round;unfortunately bakeware frankly
3;opposite quixotic;unnaturally circa electronics;duh pfft up;toward
4;ah;coordinated;lawmaker incidentally subtle;as ouch
5;synergy shyly;circa;bah hoarse;rough near
6;patiently;ack programme;politely;finally diligent
7;alb before whose;vivid;fussy;beside right ick
8;lobotomise neat;amidst while;out;oof mmm excluding
9;athwart whoever;pfft;account swing;phooey
10;pivot observe before;up;any starch finally;stint off augment
